日期,联赛,主队,客队,大球初盘赔率,大小球初盘,小球初盘赔率,大球终盘赔率,大小球终盘,小球终盘赔率,初盘主队让球赔率,初盘亚盘,初盘客队让球赔率,终盘主队让球赔率,终盘亚盘,终盘客队让球赔率,主队全场进球数,客队全场进球数,主队半场进球数,客队半场进球数,主队ELO评分,客队ELO评分
2024/10/1 8:00,A382,伐路尔,太平洋FC,0.77,2.25,0.93,0.65,2.25,1.05,0.89,-0.25,0.81,0.85,-0.25,0.85,1,0,0,0,1515,1485
2024/10/1 8:00,A1,竞技俱乐部,普拉腾斯,0.88,2,0.99,1.01,2,0.86,1.07,1,0.81,1.11,0.75,0.79,1,1,1,1,1500,1500
2024/10/1 8:00,A435,托卢卡女足,帕丘卡女足,0.9,3,0.9,0.88,3,0.92,0.81,-1,1.01,0.88,-1,0.94,1,3,1,0,1485,1515
2024/10/1 8:00,A57,诺瓦里桑蒂诺,庞特普雷塔,0.88,2,0.98,0.94,2,0.92,0.84,0.75,1.04,0.82,0.75,1.06,2,1,2,0,1515,1485
2024/10/1 8:10,A438,阿特兰大竞技,圣德尔模,0.81,1.75,0.99,0.99,1.75,0.85,0.84,-0.25,0.98,0.98,0.25,0.88,2,0,1,0,1515,1485
2024/10/1 8:15,A1,拉努斯,拉普拉塔体操,0.81,2,1.05,0.91,2,0.96,0.81,0.25,1.07,0.81,0.25,1.08,0,0,0,0,1500,1500
2024/10/1 8:30,A57,巴西瓜拉尼,奥瓦,0.8,1.75,1.06,0.93,1.75,0.93,0.93,0.25,0.95,0.89,0.25,0.99,0,0,0,0,1500,1500
2024/10/1 8:30,A3,波特莫尔联,蒂沃利加登斯,0.92,2.25,0.78,0.9,2.25,0.8,0.75,-0.25,0.95,0.77,-0.25,0.93,2,1,1,1,1515,1485
2024/10/1 8:30,A510,索阿查,巴瑞库拉,0.93,2.25,0.87,0.9,2.25,0.9,0.97,0.75,0.85,1.03,0.75,0.79,1,2,0,0,1485,1515
2024/10/1 9:00,A55,圣何塞体育,普塔雷纳斯,0.83,2.5,0.97,0.86,2.5,0.94,0.91,0.75,0.91,0.83,0.75,0.99,1,0,1,0,1515,1485
2024/10/1 15:30,A237,瓦蒂卡,德里XI,0.93,3,0.77,0.93,3,0.77,0.8,0,0.9,0.8,0,0.9,0,3,0,1,1485,1515
2024/10/1 16:00,A20,中部海岸海员,武里南,0.83,2.5,0.93,0.85,2.5,0.95,0.96,0.25,0.8,1.04,0,0.78,1,2,0,1,1485,1515
2024/10/1 18:00,A170,赞比亚U20,纳米比亚U20,0.87,2,0.89,0.85,2,0.91,0.85,0.75,0.91,0.74,0.75,1.02,2,1,1,0,1515,1485
2024/10/1 18:00,A20,川崎前锋,光州FC,0.96,3,0.8,1,2.75,0.8,0.83,0.5,0.93,0.8,0.75,1.02,0,1,0,1,1485,1515
2024/10/1 18:00,A20,浦项制铁,上海海港,0.96,3,0.8,0.99,3.25,0.81,0.93,0,0.83,0.76,0.25,1.06,3,0,0,0,1515,1485
2024/10/1 18:00,A424,布拉加U23,杜连斯U23,0.84,2.5,0.92,0.89,2.5,0.91,0.82,0.25,0.94,0.95,0.5,0.87,1,1,1,1,1500,1500
2024/10/1 18:30,A237,友谊联合队,苏德瓦德里,0.8,3,0.9,0.85,3,0.85,0.95,-0.5,0.75,0.95,-0.5,0.75,1,5,1,2,1485,1515
2024/10/1 18:30,A414,斯图加特U19,布拉格斯巴达U19,0.8,3,0.96,0.85,3.25,0.95,0.92,1,0.84,0.8,0.75,1.02,3,0,0,0,1515,1485
2024/10/1 19:00,A273,卡迪夫城U21,叶士域治U21,0.9,3.5,0.9,0.72,3.5,1.04,0.91,0,0.91,0.89,0.25,0.87,2,2,2,1,1500,1500
2024/10/1 19:30,A220,鲁斯塔维,WIT格鲁吉亚,0.9,3,0.8,0.87,2.75,0.93,0.92,1,0.78,0.96,1,0.86,1,3,1,2,1485,1515
2024/10/1 20:00,A20,柔佛,上海申花,0.99,3,0.77,0.88,2.5,0.92,0.96,0.25,0.8,1.04,0.5,0.78,3,0,2,0,1515,1485
2024/10/1 20:00,A273,考文垂U21,侯城U21,0.99,3.75,0.81,0.94,3.75,0.76,0.88,0.25,0.94,1.11,-0.25,0.6,0,4,0,2,1485,1515
2024/10/1 20:00,A273,查尔顿U21,布伦特福德U21,1,3.5,0.8,0.79,3.5,0.91,0.87,1.25,0.95,1.11,1,0.6,1,6,1,2,1485,1515
2024/10/1 20:00,A273,班士利U21,彼得堡联U21,0.82,3.5,0.98,0.79,3.5,0.91,0.9,0.75,0.92,0.91,0.5,0.79,3,4,1,2,1485,1515
2024/10/1 20:00,A414,埃因霍温U19,里斯本竞技U19,0.98,3.5,0.82,1.01,3.5,0.75,0.97,-0.5,0.85,0.86,-0.5,0.9,0,2,0,1,1485,1515
2024/10/1 20:00,A414,斯洛云U19,曼彻斯特城U19,1,3.5,0.8,0.68,3.75,1.08,0.98,-2.5,0.84,0.75,-2.5,1.01,0,4,0,1,1485,1515
2024/10/1 20:00,A414,勒沃库森U19,AC米兰U19,0.75,2.75,1.05,0.68,3,1.08,0.91,0.25,0.91,0.98,-0.25,0.78,3,1,2,0,1515,1485
2024/10/1 20:00,A69,KS莫摩斯,GKS贝查特,0.8,3,0.96,0.7,3,1.06,0.94,1.75,0.82,0.94,1.75,0.82,1,0,1,0,1515,1485
2024/10/1 20:00,A273,米禾尔U21,昆士柏流浪U21,0.99,4,0.81,0.9,3.75,0.8,0.88,1.25,0.94,0.95,0.75,0.75,0,0,0,0,1500,1500
2024/10/1 20:00,A414,萨尔茨堡U19,比斯特U19,0.75,3.5,1.05,0.85,3.75,0.91,0.75,1.75,1.07,0.7,2.25,1.06,5,1,2,0,1515,1485
2024/10/1 20:30,A198,弗罗茨瓦夫足球俱乐部II,GKP戈茹夫,0.91,3,0.85,0.86,3,0.94,0.96,1.5,0.8,0.88,1.5,0.94,2,1,2,1,1515,1485
2024/10/1 20:30,A414,国际米兰U19,贝尔格莱德红星U19,0.85,3.5,0.95,1.06,3.25,0.7,1.01,2,0.81,1.06,1.5,0.7,4,0,3,0,1515,1485
2024/10/1 21:00,A356,卡尔梅尔,巴卡,0.9,2.25,0.86,1.19,2.25,0.64,0.85,-0.5,0.91,0.73,-0.5,1.09,1,0,0,0,1515,1485
2024/10/1 21:00,A273,谢菲尔德联队U21,般尼U21,0.78,3.75,0.98,0.9,4,0.8,0.85,1.25,0.91,0.81,1,0.89,1,0,0,0,1515,1485
2024/10/1 21:00,A170,科摩罗U20,南非U20,0.96,3.5,0.8,1,3.25,0.7,0.85,-2.5,0.91,0.55,-2.25,1.17,0,2,0,0,1485,1515
